Ontology(abbreviation=PATO, label=Phenotypic quality, ontologyAccession=1107)
Ontology(abbreviation=REX, label=Physico-chemical process, ontologyAccession=1043)
Ontology(abbreviation=OBI, label=Ontology for Biomedical Investigations, ontologyAccession=1123)
Ontology(abbreviation=FMA, label=Foundational Model of Anatomy, ontologyAccession=1053)
Ontology(abbreviation=DOID, label=Human disease ontology, ontologyAccession=1009)
Ontology(abbreviation=OGMS, label=Ontology for General Medical Science, ontologyAccession=1414)
Ontology(abbreviation=IAO, label=Information Artifact Ontology, ontologyAccession=1393)
Ontology(abbreviation=CHEBI, label=Chemical entities of biological interest, ontologyAccession=1007)
Ontology(abbreviation=ZFA, label=Zebrafish anatomy and development, ontologyAccession=1051)
Ontology(abbreviation=GO-EXT, label=Gene Ontology Extension, ontologyAccession=1506)
Ontology(abbreviation=GO, label=Gene Ontology, ontologyAccession=1070)
Ontology(abbreviation=XAO, label=Xenopus anatomy and development, ontologyAccession=1095)
Ontology(abbreviation=PR, label=PRotein Ontology, ontologyAccession=1062)
Ontology(abbreviation=birnlex, label=BIRNLex, ontologyAccession=1089)
Ontology(abbreviation=GALEN, label=Galen, ontologyAccession=1055)
Ontology(abbreviation=EP, label=Cardiac Electrophysiology Ontology, ontologyAccession=1142)
Ontology(abbreviation=WHO, label=WHO Adverse Reaction Terminology, ontologyAccession=1354)
Ontology(abbreviation=RCD, label=Read Codes, Clinical Terms Version 3 (CTV3) , ontologyAccession=1427)
Ontology(abbreviation=CSP, label=CRISP Thesaurus, 2006, ontologyAccession=1526)
Ontology(abbreviation=SPO, label=Skin Physiology Ontology, ontologyAccession=1122)
Ontology(abbreviation=MI, label=Protein-protein interaction, ontologyAccession=1040)
Ontology(abbreviation=basic-vertebrate-gross-anatomy, label=Basic Vertebrate Anatomy, ontologyAccession=1056)
Ontology(abbreviation=ProPreO, label=Proteomics data and process provenance, ontologyAccession=1039)
Ontology(abbreviation=MOD, label=Protein modification, ontologyAccession=1041)
Ontology(abbreviation=FHHO, label=Family Health History Ontology, ontologyAccession=1126)
Ontology(abbreviation=ClinicalTrialOntology, label=Epoch Clinical Trial Ontologies, ontologyAccession=1060)
Ontology(abbreviation=GFO, label=General Formal Ontology, ontologyAccession=1439)
Ontology(abbreviation=ICECI, label=International Classification of  External Causes of Injuries, ontologyAccession=1484)
Ontology(abbreviation=ICD10, label=ICD10, ontologyAccession=1516)
Ontology(abbreviation=MEDLINEPLUS, label=MedlinePlus Health Topics, ontologyAccession=1347)
Ontology(abbreviation=amino-acid, label=Amino Acid, ontologyAccession=1054)
Ontology(abbreviation=ICPC, label=International Classification of Primary Care, ontologyAccession=1344)
Ontology(abbreviation=SAO, label=Subcellular Anatomy Ontology (SAO), ontologyAccession=1068)
Ontology(abbreviation=AIR, label=AI/RHEUM, ontologyAccession=1430)
Ontology(abbreviation=pseudo, label=Pseudogene, ontologyAccession=1135)
Ontology(abbreviation=NIC, label=Nursing Interventions Classification (NIC), ontologyAccession=1428)
Ontology(abbreviation=NDFRT, label=National Drug File, ontologyAccession=1352)
Ontology(abbreviation=SEP, label=Sample processing and separation techniques, ontologyAccession=1044)
Ontology(abbreviation=MO, label=Microarray and Gene Expression Data Ontology, ontologyAccession=1131)
Ontology(abbreviation=pro-ont, label=Protein Ontology, ontologyAccession=1052)
Ontology(abbreviation=CST, label=Coding Symbols for a Thesaurus of Adverse Reaction Terms, ontologyAccession=1341)
Ontology(abbreviation=OGR, label=Ontology of Geographical Region, ontologyAccession=1087)
Ontology(abbreviation=LDA, label=Ontology of Language Disorder in Autism, ontologyAccession=1398)
Ontology(abbreviation=GRO_CPGA, label=Cereal plant gross anatomy, ontologyAccession=1001)
